Species,Times,Concentrations
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.100226190476], [0.135, 0.0681538095238]]"
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.100282909091], [0.135, 0.0529270909091]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.0703803571429], [0.0075, 0.108769642857]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.0813559322034], [0.0075, 0.0786440677966]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0766802586207], [0.0075, 0.0977297413793]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0901495275591], [0.0075, 0.0915804724409]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0477914754098], [0.135, 0.0736785245902]]"
"[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.055304], [0.135, 0.082956]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0655026086957], [0.0075, 0.00204695652174], [0.0075, 0.0266104347826]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.040745], [0.0075, 0.00135816666667], [0.0075, 0.0393868333333]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.077], [0.135, 0.0], [0.0075, 0.0]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.063149047619], [0.135, 0.0], [0.0075, 0.038860952381]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0471753191489], [0.0075, 0.0], [0.135, 0.0349446808511]]"
"[0, 1, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0436529032258], [0.0075, 0.00242516129032], [0.135, 0.0291019354839]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0656177380952], [0.0075, 0.0], [0.0075, 0.0833522619048]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0589196666667], [0.0075, 0.0], [0.0075, 0.101770333333]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0435621100917], [0.135, 0.0], [0.0075, 0.109607889908]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0], [0.0075, 0.0]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.039677826087], [0.0075, 0.0], [0.135, 0.090692173913]]"
"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0288661016949], [0.0075, 0.0], [0.135, 0.0846738983051]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0916158], [0.0075, 0.0017286], [0.0075, 0.0795156]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0876221052632], [0.0075, 0.0], [0.0075, 0.0973578947368]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.10044047619], [0.135, 0.0], [0.0075, 0.0913095238095]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0788105769231], [0.135, 0.00175134615385], [0.0075, 0.101578076923]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0875379439252], [0.0075, 0.0], [0.135, 0.0797220560748]]"
"[0, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0975793939394], [0.0075, 0.0], [0.135, 0.0719006060606]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0777785185185], [0.0075, 0.00598296296296], [0.0075, 0.0777785185185]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0597768421053], [0.0075, 0.00533721804511], [0.0075, 0.0768559398496]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0930732727273], [0.135, 0.0], [0.0075, 0.0720567272727]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.057552], [0.135, 0.009156], [0.0075, 0.090252]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0450407407407], [0.0075, 0.00270244444444], [0.135, 0.0738668148148]]"
"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0591893617021], [0.0075, 0.00269042553191], [0.135, 0.064570212766]]"
"[0, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.00183394736842], [0.0075, 0.0440147368421], [0.0075, 0.0935313157895]]"
