Species,Times,Concentrations
"[0, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 1]","[[0.0197617890131259, 0.0459686956521739, 0.0617515463917526, 0.0280960784313725, 'NA', 0.07479], [0.130238210986874, 0.0295513043478261, 0.00789845360824742, 0.0342039215686274, 'NA', 0.0]]"
"[0, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0197617890131259, 0.0359341071428571, 0.0447904054054054, 0.0418890566037736, 0.05175, 0.07488], [0.130238210986874, 0.0334558928571429, 0.0201995945945946, 0.0197809433962264, 0.0207, 0.0]]"
"[0, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.147310699980927, 0.0771657931034483, 0.07599, 0.07545, 0.08164, 0.08041], [0.00268930001907305, 0.00391420689655172, 0.0, 0.0, 0.0, 0.0]]"
"[0, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.147310699980927, 0.078676265060241, 0.07689, 0.07386, 0.07587, 0.07909], [0.00268930001907305, 0.00346373493975904, 0.0, 0.0, 0.0, 0.0]]"
"[0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0114862955637186, 0.0183700740740741, 0.0738293939393939, 0.08405, 0.0870984126984127, 0.0776841428571429], [0.138513704436281, 0.127509925925926, 0.0544006060606061, 0.0533, 0.0573015873015873, 0.0692858571428571]]"
"[0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0114862955637186, 0.0204848148148148, 0.0596166666666667, 0.0680656666666667, 0.0886281481481481, 0.0913431707317073], [0.138513704436281, 0.125065185185185, 0.0681333333333333, 0.0636743333333333, 0.0609318518518518, 0.0615168292682927]]"
"[0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.145151287352002, 0.126408571428571, 0.0929416666666667, 0.068657619047619, 0.086322, 0.0962307692307692], [0.0048487126479985, 0.0142314285714286, 0.0185883333333333, 0.0708723809523809, 0.057548, 0.0427692307692308]]"
"[0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.145151287352002, 0.139373465346535, 0.0911904761904762, 0.0850542307692308, 0.089187619047619, 0.0907349253731343], [0.0048487126479985, 0.00426653465346535, 0.00455952380952381, 0.0313357692307692, 0.062672380952381, 0.0692450746268657]]"
"[0, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00937283836753517, 0.00908268907563025, 0.0610023880597015, 0.0883232258064516, 0.0959567901234568, 0.100238571428571], [0.140627161632465, 0.17105731092437, 0.0849676119402985, 0.0727367741935484, 0.0594932098765432, 0.0597914285714286]]"
"[0, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00937283836753517, 0.0279278723404255, 0.0532457407407407, 0.0872104166666667, 0.0654258823529412, 0.0951328767123288], [0.140627161632465, 0.143282127659574, 0.0980842592592593, 0.0659395833333333, 0.0736041176470588, 0.0702171232876712]]"
"[0, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.144014544098452, 0.07595875, 0.0600366666666667, 0.0822221739130435, 0.0850372413793103, 0.113848101265823], [0.00598545590154764, 0.09766125, 0.0943433333333333, 0.0632478260869565, 0.0690927586206897, 0.0360518987341772]]"
"[0, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.144014544098452, 0.0662590654205607, 0.0609847826086957, 0.0780845714285714, 0.114775322580645, 0.106064634146341], [0.00598545590154764, 0.106660934579439, 0.0948652173913044, 0.0657554285714286, 0.0507146774193548, 0.0580353658536585]]"
"[0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1]","[[0.00619664634146342, 0.0322795180722892, 'NA', 0.0743338095238095, 0.0600113684210526, 0.0774187826086956], [0.143803353658537, 0.135170481927711, 'NA', 0.0675761904761905, 0.0695586315789474, 0.0639012173913043]]"
"[0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.00619664634146342, 0.0478133333333333, 0.0667499065420561, 0.067212131147541, 0.0825605882352941, 0.0825897752808989], [0.143803353658537, 0.115186666666667, 0.0607900934579439, 0.090477868852459, 0.0651794117647059, 0.0674202247191011]]"
"[0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.140939781021898, 0.107350543478261, 0.0843162962962963, 0.0791501234567901, 0.0794412048192771, 0.072925], [0.00906021897810219, 0.0506694565217391, 0.0641537037037037, 0.0516898765432099, 0.0738987951807229, 0.072925]]"
"[0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0]","[[0.140939781021898, 0.108862543352601, 0.0764182278481013, 0.061849156626506, 'NA', 'NA'], [0.00906021897810219, 0.0406074566473988, 0.0548217721518987, 0.054820843373494, 'NA', 'NA']]"
"[0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0171789786812097, 0.0205615384615385, 0.0443489795918367, 0.0504791044776119, 0.0498834848484849, 0.0625554054054054], [0.13282102131879, 0.00373846153846154, 0.0257510204081633, 0.00407089552238806, 0.0173065151515152, 0.00357459459459459]]"
"[0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0171789786812097, 0.01996, 0.054071320754717, 0.05336, 0.0556063265306122, 0.0574830487804878], [0.13282102131879, 0.0, 0.016688679245283, 0.0, 0.0133736734693878, 0.0070869512195122]]"
